"","trans","Value","Std.Error","DF","t.value","p.value","conditions","fis.dist","minflight.prop","comparison"
"Leadership comp.",-0.8,0.0618,0.026,16,2.3764,0.0303,"fis-dist=25minflight-prop=0.1","25","0.1","Leadership comp."
"l.all - l.mixed",1,-0.00553013319509588,0.014010913158603,18,-0.39470183938013,0.978507133082909,"fis-dist=25minflight-prop=0.1","25","0.1","l.all - l.mixed"
"l.all - h.mixed",1,-0.0184619255081708,0.0139920648363506,18,-1.31945682957442,0.562982468231192,"fis-dist=25minflight-prop=0.1","25","0.1","l.all - h.mixed"
"l.all - h.all",1,-0.0153143614643632,0.0123411883484303,18,-1.24091465359663,0.610084033425521,"fis-dist=25minflight-prop=0.1","25","0.1","l.all - h.all"
"l.mixed - h.mixed",1,-0.0129317923130749,0.011218312793466,18,-1.1527395029141,0.66288906185966,"fis-dist=25minflight-prop=0.1","25","0.1","l.mixed - h.mixed"
"l.mixed - h.all",1,-0.00978422826926729,0.0136237359338536,18,-0.718175125881184,0.888574856371827,"fis-dist=25minflight-prop=0.1","25","0.1","l.mixed - h.all"
"h.mixed - h.all",1,0.00314756404380765,0.0137534189432314,18,0.228856843291078,0.995619383527677,"fis-dist=25minflight-prop=0.1","25","0.1","h.mixed - h.all"
"Mass comp. homogeneity",0.2,-0.0093,0.0259,14,-0.3568,0.7266,"fis-dist=25minflight-prop=0.1","25","0.1","Mass comp. homogeneity"
"Homogeneity",1,0.0142,0.0204,35,0.6974,0.4902,"fis-dist=25minflight-prop=0.1","25","0.1","Homogeneity"
"Homogeneity (sub followers)",0.9,0.0175,0.0194,35,0.9041,0.3721,"fis-dist=25minflight-prop=0.1","25","0.1","Homogeneity (sub followers)"
"Leadership comp.1",-0.8,0.0618,0.0262,23,2.3554,0.0274,"fis-dist=50minflight-prop=0.05","50","0.05","Leadership comp."
"l.all - l.mixed1",1,-0.00512746173509076,0.037970612995158,21,-0.135037633860286,0.999091520873506,"fis-dist=50minflight-prop=0.05","50","0.05","l.all - l.mixed"
"l.all - h.mixed1",1,0.0297606037731227,0.0377789184910571,21,0.787756901515525,0.859168238432476,"fis-dist=50minflight-prop=0.05","50","0.05","l.all - h.mixed"
"l.all - h.all1",1,0.035878025645384,0.0304595445330072,21,1.17789107471732,0.646913544186308,"fis-dist=50minflight-prop=0.05","50","0.05","l.all - h.all"
"l.mixed - h.mixed1",1,0.0348880655082135,0.0284132142522963,21,1.2278816890769,0.616696346110069,"fis-dist=50minflight-prop=0.05","50","0.05","l.mixed - h.mixed"
"l.mixed - h.all1",1,0.0410054873804747,0.0379489366128625,21,1.08054377909963,0.704846095830407,"fis-dist=50minflight-prop=0.05","50","0.05","l.mixed - h.all"
"h.mixed - h.all1",1,0.00611742187226125,0.0378889654534927,21,0.161456555993068,0.99845238127262,"fis-dist=50minflight-prop=0.05","50","0.05","h.mixed - h.all"
"Mass comp. homogeneity1",-0.6,-0.0063,0.0305,14,-0.2058,0.8399,"fis-dist=50minflight-prop=0.05","50","0.05","Mass comp. homogeneity"
"Homogeneity1",0.9,-0.0135,0.0218,35,-0.6177,0.5408,"fis-dist=50minflight-prop=0.05","50","0.05","Homogeneity"
"Homogeneity (sub followers)1",1,-0.011,0.0224,35,-0.4906,0.6268,"fis-dist=50minflight-prop=0.05","50","0.05","Homogeneity (sub followers)"
"Leadership comp.2",-0.7,0.0706,0.0297,15,2.376,0.0313,"fis-dist=50minflight-prop=0.1","50","0.1","Leadership comp."
"l.all - l.mixed2",1,0.0264518174056924,0.0336217104598172,18,0.786748117330501,0.859487889428755,"fis-dist=50minflight-prop=0.1","50","0.1","l.all - l.mixed"
"l.all - h.mixed2",1,0.0498576380556782,0.0335023511987111,18,1.48818325495902,0.464560279638453,"fis-dist=50minflight-prop=0.1","50","0.1","l.all - h.mixed"
"l.all - h.all2",1,0.0415948127722048,0.0290417651147384,18,1.43224120875132,0.496546729318616,"fis-dist=50minflight-prop=0.1","50","0.1","l.all - h.all"
"l.mixed - h.mixed2",1,0.0234058206499858,0.0262301771497083,18,0.892324154594821,0.808878033982446,"fis-dist=50minflight-prop=0.1","50","0.1","l.mixed - h.mixed"
"l.mixed - h.all2",1,0.0151429953665124,0.0311944472738208,18,0.485438810105824,0.961351062660206,"fis-dist=50minflight-prop=0.1","50","0.1","l.mixed - h.all"
"h.mixed - h.all2",1,-0.00826282528347339,0.0313040087254455,18,-0.26395422247493,0.993329293875082,"fis-dist=50minflight-prop=0.1","50","0.1","h.mixed - h.all"
"Mass comp. homogeneity2",-0.6,0.0137,0.0258,14,0.5312,0.6036,"fis-dist=50minflight-prop=0.1","50","0.1","Mass comp. homogeneity"
"Homogeneity2",1.1,-0.0018,0.0215,35,-0.0837,0.9338,"fis-dist=50minflight-prop=0.1","50","0.1","Homogeneity"
"Homogeneity (sub followers)2",0.9,0.0017,0.0213,35,0.0807,0.9361,"fis-dist=50minflight-prop=0.1","50","0.1","Homogeneity (sub followers)"
"Leadership comp.3",-0.8,0.0479,0.0318,9,1.508,0.1658,"fis-dist=50minflight-prop=0.25","50","0.25","Leadership comp."
"l.all - l.mixed3",1,0.0194522007057878,0.0290632223639512,12,0.669306399070034,0.906637810165317,"fis-dist=50minflight-prop=0.25","50","0.25","l.all - l.mixed"
"l.all - h.mixed3",1,0.0279049820486106,0.0280193479875328,12,0.995918322618602,0.754545304133693,"fis-dist=50minflight-prop=0.25","50","0.25","l.all - h.mixed"
"l.all - h.all3",1,0.0254043123300572,0.0264128298989631,12,0.961817133084044,0.772938800668905,"fis-dist=50minflight-prop=0.25","50","0.25","l.all - h.all"
"l.mixed - h.mixed3",1,0.00845278134282272,0.0242583048154717,12,0.348448970656499,0.984759753235069,"fis-dist=50minflight-prop=0.25","50","0.25","l.mixed - h.mixed"
"l.mixed - h.all3",1,0.00595211162426937,0.0282743362848955,12,0.210512868075671,0.996517594054576,"fis-dist=50minflight-prop=0.25","50","0.25","l.mixed - h.all"
"h.mixed - h.all3",1,-0.00250066971855335,0.0274261387619989,12,-0.0911783368506191,0.999712251085116,"fis-dist=50minflight-prop=0.25","50","0.25","h.mixed - h.all"
"Mass comp. homogeneity3",-1,0.0114,0.022,14,0.5157,0.6141,"fis-dist=50minflight-prop=0.25","50","0.25","Mass comp. homogeneity"
"Homogeneity3",1,0.0026,0.0221,35,0.1192,0.9058,"fis-dist=50minflight-prop=0.25","50","0.25","Homogeneity"
"Homogeneity (sub followers)3",1,0.0076,0.0222,35,0.3409,0.7352,"fis-dist=50minflight-prop=0.25","50","0.25","Homogeneity (sub followers)"
"Leadership comp.4",-0.7,0.0549,0.0291,14,1.8875,0.08,"fis-dist=75minflight-prop=0.1","75","0.1","Leadership comp."
"l.all - l.mixed4",1,0.029411624544515,0.0279411091507772,17,1.05262909878783,0.721722131034212,"fis-dist=75minflight-prop=0.1","75","0.1","l.all - l.mixed"
"l.all - h.mixed4",1,0.0412256345264529,0.0278083799455903,17,1.48248961669521,0.468856988604073,"fis-dist=75minflight-prop=0.1","75","0.1","l.all - h.mixed"
"l.all - h.all4",1,0.031641088979127,0.0225667261980113,17,1.40211250411304,0.514964236686092,"fis-dist=75minflight-prop=0.1","75","0.1","l.all - h.all"
"l.mixed - h.mixed4",1,0.0118140099819378,0.0211002036533267,17,0.55990028229302,0.942538054445229,"fis-dist=75minflight-prop=0.1","75","0.1","l.mixed - h.mixed"
"l.mixed - h.all4",1,0.00222946443461194,0.0265740389376936,17,0.0838963335546855,0.999779389181817,"fis-dist=75minflight-prop=0.1","75","0.1","l.mixed - h.all"
"h.mixed - h.all4",1,-0.00958454554732589,0.0262549803093971,17,-0.365056283965119,0.982799483024749,"fis-dist=75minflight-prop=0.1","75","0.1","h.mixed - h.all"
"Mass comp. homogeneity4",-0.9,0.0172,0.022,14,0.7832,0.4466,"fis-dist=75minflight-prop=0.1","75","0.1","Mass comp. homogeneity"
"Homogeneity4",1.1,-0.0185,0.0112,35,-1.6529,0.1073,"fis-dist=75minflight-prop=0.1","75","0.1","Homogeneity"
"Homogeneity (sub followers)4",1,-0.0145,0.011,35,-1.3174,0.1962,"fis-dist=75minflight-prop=0.1","75","0.1","Homogeneity (sub followers)"
